Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2424304,25-Sep-22,Virginia,Suffolk,200 block of Pine St,1,0,N/A
2424013,25-Sep-22,Ohio,Saint Clairsville,139 N Market St,1,0,N/A
2424073,24-Sep-22,Wisconsin,Milwaukee,6900 block of N 43rd St,1,0,N/A
2423209,24-Sep-22,Michigan,Sterling Heights,43000 block of Frontenac Ave,1,0,N/A
2424598,23-Sep-22,California,South Lake Tahoe,700 block of James Ave,1,0,N/A
2424332,23-Sep-22,Colorado,South Lake Tahoe,James Ave,1,0,N/A
2425335,21-Sep-22,Florida,Mulberry,3811 Laurel Crest Dr,1,0,N/A
2421053,21-Sep-22,South Carolina,Spartanburg,4700 block of S Pine St,1,0,N/A
2418129,17-Sep-22,Virginia,Roanoke,1500 block of Shamrock St,1,0,N/A
2416174,16-Sep-22,North Carolina,Raleigh,7700 Old Wake Forest Rd,1,0,N/A
2418295,16-Sep-22,Texas,Midland,I-20 and Loop 250,1,0,N/A
2416717,16-Sep-22,New Jersey,Maple Shade,300 block of S Coles Ave,1,0,N/A
2416715,16-Sep-22,New Jersey,Newark,200 block of Schley St,1,0,N/A
2415825,14-Sep-22,Pennsylvania,Harrisburg,2100 block of Jefferson St,1,0,N/A
2415724,14-Sep-22,Ohio,Beachwood (Warrensville Heights),4000 block of Clarkwood Pkwy,1,0,N/A
2413777,13-Sep-22,Michigan,Detroit,8800 block of Heyden St,1,0,N/A
2413368,12-Sep-22,Virginia,Richmond,900 block of N 1st St,1,0,N/A
2418498,10-Sep-22,Illinois,Litchfield,N/A,1,0,N/A
2415338,10-Sep-22,Tennessee,Mount Juliet,N/A,1,0,N/A
2411616,9-Sep-22,Maine,Guilford,N/A,1,0,N/A
2412238,9-Sep-22,Texas,Fort Worth,6200 block of Hulen Bend Cir,1,0,N/A
2411698,9-Sep-22,Nevada,Las Vegas,2675 W Agate Ave,1,0,N/A
2407412,5-Sep-22,Texas,Houston,4300 block of Steubner Hill Dr,1,0,N/A
2407282,4-Sep-22,Indiana,Evansville,1856 S Garvin St,1,0,N/A
2409391,4-Sep-22,Oklahoma,Tulsa,S Garnett Rd and E 21st St,1,0,N/A
2404903,2-Sep-22,New York,Corona (Queens),240-06 136th Ave,1,0,N/A
2403928,1-Sep-22,Indiana,Anderson,1200 block of Jonathon Ct,1,0,N/A
2402876,31-Aug-22,Missouri,Saint Louis,956 Melvin Dr,1,0,N/A
