Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2425199,27-Sep-22,Pennsylvania,Philadelphia,6498 Ridge Ave,1,4,N/A
2425393,27-Sep-22,New York,Corona (Queens),88th St and Atlantic Ave,0,4,N/A
2423747,25-Sep-22,Pennsylvania,Harrisburg,2300 block of Woodlawn St,0,4,N/A
2423338,25-Sep-22,Indiana,Hammond,6217 Kennedy Ave,1,3,N/A
2423538,24-Sep-22,Ohio,Columbus,E 5th Ave and Osborn Ave,1,3,N/A
2423331,24-Sep-22,Georgia,Louisville,Forrest Dr,1,3,N/A
2424602,23-Sep-22,California,Castroville,N/A,0,4,N/A
2421430,22-Sep-22,Illinois,Chicago,E 35th St and S Prairie Ave,0,4,N/A
2420406,20-Sep-22,New York,Mount Vernon,333 S 8th Ave,0,4,N/A
2420637,20-Sep-22,Michigan,Niles,620 N 6th St,2,3,N/A
2419473,19-Sep-22,Georgia,Swainsboro,N Coleman St,1,3,N/A
2417641,18-Sep-22,Wisconsin,Kenosha,2232 Roosevelt Rd,2,2,N/A
2417696,18-Sep-22,Michigan,Allendale,10295 48th Ave,0,4,N/A
2417863,18-Sep-22,Nevada,Las Vegas,4800 block of Holt Ave,0,5,N/A
2417634,18-Sep-22,New York,Corona (Queens),41st Ave and Warren St,1,3,N/A
2417293,17-Sep-22,Missouri,Blue Springs,US 40 and Adams Dairy Pkwy,0,5,N/A
2416762,17-Sep-22,Minnesota,Minneapolis,Hennepin Ave and N 8th St,0,5,N/A
2416625,16-Sep-22,Wisconsin,Milwaukee,4100 block of N 13th St,0,5,N/A
2414276,14-Sep-22,Wisconsin,Milwaukee,1300 block of E Hamilton St,0,4,N/A
2415614,14-Sep-22,Florida,Miami (North Miami),NW 10th Ave and NW 131st St,0,5,N/A
2414858,14-Sep-22,California,Los Angeles,312 E 5th St,0,4,N/A
2414080,13-Sep-22,Illinois,Chicago,5531 S King Dr,2,7,N/A
2415479,13-Sep-22,California,Oakland,92nd Ave and Peach St,0,4,N/A
2413596,12-Sep-22,Oklahoma,Oklahoma City,1400 block of S Indiana Ave,0,4,N/A
2412164,11-Sep-22,New Mexico,Santa Fe,Paseo Feliz,0,5,N/A
2412289,11-Sep-22,Michigan,Grand Rapids,N/A,0,4,N/A
2412198,11-Sep-22,Michigan,Detroit,13000 block of E Warren Ave,0,4,N/A
2412487,11-Sep-22,North Carolina,Durham,4400 block of NC-55,1,3,N/A
2411801,10-Sep-22,Indiana,Plainfield,2688 E Main St,2,2,N/A
2411871,10-Sep-22,Kentucky,Lexington,Georgetown Rd and Parallel Rd,0,4,N/A
2411007,9-Sep-22,New York,Bronx,810 Astor Ave,0,4,N/A
2410446,9-Sep-22,Maryland,Elk Mills,47 Hebron Ct,5,0,N/A
2411901,9-Sep-22,Minnesota,Minneapolis,328 W Broadway Ave,1,3,N/A
2410704,8-Sep-22,Minnesota,Minneapolis,626 W Broadway Ave,0,4,N/A
2410269,8-Sep-22,California,Los Angeles,4th St and Broadway,0,4,N/A
2408990,7-Sep-22,Tennessee,Memphis,3100 block of Lyndale Ave,3,3,N/A
2407734,5-Sep-22,Missouri,Kansas City,7320 Manchester Ave,2,2,N/A
2406998,5-Sep-22,Georgia,Hartwell,1541 Anderson Hwy,2,2,N/A
2406862,5-Sep-22,Ohio,Cleveland,13902 Euclid Ave,1,10,N/A
2406852,5-Sep-22,Pennsylvania,Philadelphia,W Russell St and N 8th St,2,4,N/A
2407739,5-Sep-22,Missouri,Saint Louis,4400 block of Red Bud Ave,0,4,N/A
2406597,4-Sep-22,Minnesota,Saint Paul,951 Case Ave E,3,2,N/A
2406108,4-Sep-22,Virginia,Norfolk,5005 Killam Ave,2,5,N/A
2406656,4-Sep-22,Florida,Fort Lauderdale (Lauderdale Lakes),3050 NW 41st St,0,4,N/A
2406651,4-Sep-22,Illinois,Chicago,8600 block of S Kingston Ave,2,2,N/A
2406123,4-Sep-22,South Carolina,Charleston,King St and Morris St,0,5,N/A
2405689,3-Sep-22,California,Chico,1500 block of W 5th St,0,5,N/A
2405866,3-Sep-22,Illinois,Yorkville,8400 block of Immanuel Rd,0,4,N/A
2408075,3-Sep-22,Delaware,Dover,1200 N Dupont Hwy,0,4,N/A
2406042,3-Sep-22,Alabama,Birmingham,100 block of 3rd Ave W,2,2,N/A
2405859,3-Sep-22,Maryland,Capitol Heights,1428 Ritchie Rd,1,3,N/A
2405239,2-Sep-22,California,Fresno,Effie St and Grant Ave,2,3,N/A
2405020,2-Sep-22,Minnesota,Minneapolis,700 W Broadway Ave,0,4,N/A
2404930,2-Sep-22,New York,Brooklyn,223 Russell St,0,4,N/A
2400998,29-Aug-22,Missouri,Saint Louis (Jennings),8800 block of Cozens Ave,0,4,N/A
2399774,28-Aug-22,Wisconsin,Clinton,9221 E Little Ln,0,4,N/A
2400434,28-Aug-22,Oregon,Bend,2650 NE Hwy 20,3,2,N/A
2399820,28-Aug-22,New York,Albany,Hamilton St and Ontario St,0,6,N/A
2399670,28-Aug-22,Colorado,Denver,2731 42nd Ave,1,3,N/A
2400026,28-Aug-22,Michigan,Detroit,Wyoming Ave and W 7-Mile Rd,3,1,N/A
2399839,28-Aug-22,California,Los Angeles,2471 Whittier Blvd,0,6,N/A
